City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,Clyde River,70.4692,-68.5914,-18.17,69,100,5.75,CA,2/2/2022 20:25
259,Goderich,43.7501,-81.7165,30.04,93,100,13.8,CA,2/2/2022 20:25
260,Husavik,66.0449,-17.3389,24.71,89,98,5.17,IS,2/2/2022 20:25
261,Chuy,-33.6971,-53.4616,79.92,60,0,14,UY,2/2/2022 20:25
262,Flinders,-34.5833,150.8552,65.21,74,100,11.99,AU,2/2/2022 20:23
263,Zhoucheng,35.9122,116.3117,30.9,44,100,4.09,CN,2/2/2022 20:25
264,Torbay,47.6666,-52.7314,27.88,81,20,8.05,CA,2/2/2022 20:25
265,Qaanaaq,77.484,-69.3632,-16.51,73,100,6.76,GL,2/2/2022 20:25
266,Acapulco,16.8634,-99.8901,84.02,61,40,9.22,MX,2/2/2022 20:25
267,Tuatapere,-46.1333,167.6833,57.81,90,100,7.49,NZ,2/2/2022 20:25
268,Edendale,-29.6528,30.3147,71.62,94,49,2.59,ZA,2/2/2022 20:25
269,Harper,4.375,-7.7169,79.36,78,82,8.19,LR,2/2/2022 20:25
270,Spearfish,44.4908,-103.8594,7.11,60,20,3,US,2/2/2022 20:25
271,Grand-Santi,4.25,-54.3833,77.95,95,56,3.83,GF,2/2/2022 20:25
272,Basavana Bagevadi,16.5833,75.9667,73.45,33,2,7.72,IN,2/2/2022 20:25
273,Saskatoon,52.1168,-106.6345,-13.85,75,20,4,CA,2/2/2022 20:24
274,Taman,45.2117,36.7161,52.12,88,100,15.48,RU,2/2/2022 20:25
275,Opuwo,-18.0607,13.84,68.38,52,65,12.01,NA,2/2/2022 20:25
276,Bilibino,68.0546,166.4372,-7.73,63,96,5.39,RU,2/2/2022 20:23
277,Kamaishi,39.2667,141.8833,30.79,64,7,6.87,JP,2/2/2022 20:20
278,Ulaangom,49.9811,92.0667,-21.08,90,97,2.28,MN,2/2/2022 20:25
279,Ishigaki,24.3448,124.1572,71.74,80,65,17.74,JP,2/2/2022 20:25
280,Zhigansk,66.7697,123.3711,-12.14,99,100,4.03,RU,2/2/2022 20:23
281,Bima,-8.4667,118.7167,74.75,93,98,2.46,ID,2/2/2022 20:25
282,Adrar,20.5022,-10.0711,73.62,18,96,10.67,MR,2/2/2022 20:26
283,Fairbanks,64.8378,-147.7164,-25.02,70,0,0,US,2/2/2022 20:26
284,Waycross,31.2136,-82.354,73.63,53,75,11.5,US,2/2/2022 20:24
